nbits,random_images_sim,time,output_indices,number_of_similar_images
2.0,0.9596274,0.0003619194030761719,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",30
4.0,0.9596274,0.0003681182861328125,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",30
6.0,0.9581384,0.00029087066650390625,"[0, 2, 3, 5, 7, 10, 12, 13, 14, 17, 20, 21, 25, 26, 30, 38, 39, 40, 43, 46, 47, 48, 54, 55, 56, 57, 58, 59, 60, 62]",30
8.0,0.9710644,0.00031375885009765625,"[30, 97, 98, 168, 194, 238, 239, 278, 364, 403, 438, 439, 444, 491, 494, 614, 641, 648, 682, 734, 771, 776, 779, 785, 787, 830, 911, 913, 932, 985]",30
10.0,0.95483965,0.00021696090698242188,"[10, 14, 58, 135, 209, 289, 291, 320, 392, 408, 455, 551, 558, 569, 629, 632, 648, 708, 751, 896, 904, 941, 1040, 1043, 1088, 1158, 1187, 1302, 1363, 1430]",30
12.0,0.9587444,0.0009930133819580078,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 32]",30
15.0,0.9712875,0.008200407028198242,"[8, 20, 36, 57, 74, 78, 97, 106, 115, 118, 124, 130, 134, 143, 146, 156, 163, 164, 189, 194, 208, 216, 228, 230, 252, 254, 270, 278, 281, 291]",30
20.0,0.9635045,0.41368699073791504,"[10, 172, 985, 1361, 1396, 1468, 1917, 2431, 2663, 2684, 2803, 3035, 3320, 3718, 3838, 3981, 4188, 4218, 4449, 4612, 4776, 4826, 4985, 15595, 15876, 17421, 17467, 18220, 18351, 18824]",30
