nbits,random_images_sim,time,output_indices,number_of_similar_images
2.0,0.96479535,0.0003750324249267578,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",50
4.0,0.9641917,0.0003311634063720703,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",50
6.0,0.977726,0.00022602081298828125,"[7, 47, 70, 130, 194, 233, 245, 314, 364, 379, 393, 396, 415, 451, 511, 524, 539, 540, 633, 648, 685, 784, 785, 903, 933, 959, 1055, 1176, 1217, 1292, 1383, 1443, 1493, 1515, 1523, 1560, 1594, 1603, 1621, 1700, 1716, 1743, 1796, 1835, 1841, 1874, 1899, 1908, 1943, 1989]",50
8.0,0.96479535,0.0003559589385986328,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",50
10.0,0.9636828,0.0004432201385498047,"[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]",50
12.0,0.9778148,0.0008037090301513672,"[177, 194, 291, 328, 424, 482, 517, 638, 641, 658, 682, 688, 711, 750, 789, 950, 997, 1015, 1107, 1162, 1217, 1239, 1327, 1373, 1453, 1525, 1603, 1609, 1686, 1796, 1911, 2050, 2072, 2147, 2209, 2211, 2226, 2263, 2352, 2383, 2432, 2444, 2485, 2539, 2608, 2815, 2907, 2908, 3038, 3169]",50
15.0,0.9733713,0.008423805236816406,"[2, 7, 8, 11, 12, 13, 15, 16, 17, 18, 19, 20, 22, 23, 30, 35, 36, 38, 39, 45, 47, 48, 57, 60, 64, 66, 67, 69, 70, 72, 74, 75, 76, 78, 80, 81, 82, 83, 85, 87, 90, 93, 94, 95, 96, 97, 98, 101, 103, 104]",50
20.0,0.9747927,0.37132978439331055,"[39, 178, 367, 380, 1233, 1303, 1336, 1340, 1407, 1451, 1605, 1628, 1806, 1855, 2038, 2188, 2390, 2628, 2692, 2989, 3111, 3209, 3390, 3568, 3610, 4023, 4261, 4325, 4469, 4504, 4570, 4847, 5508, 5589, 6590, 7235, 10559, 10587, 12337, 12565, 13153, 14854, 15012, 15020, 15060, 15144, 15225, 15246, 15311, 15364]",50
