nbits,random_images_sim,time,output_indices,number_of_similar_images
2.0,0.95705473,0.00121307373046875,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",20
4.0,0.9557565,0.0002551078796386719,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 20, 21]",20
6.0,0.95592564,0.00022292137145996094,"[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21]",20
2.0,0.9567132,0.0002989768981933594,"[2, 3, 5, 7, 8, 9, 12, 13, 14, 15, 16, 17, 18, 20, 22, 23, 25, 26, 27, 28, 30, 31, 33, 35, 36, 38, 39, 40, 45, 47, 48, 50, 51, 54, 57, 59, 60, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 74, 75, 76]",50
4.0,0.9654181,0.0002727508544921875,"[0, 2, 7, 8, 12, 13, 15, 17, 20, 25, 28, 30, 38, 39, 47, 48, 57, 58, 59, 60, 66, 70, 74, 75, 78, 80, 82, 83, 87, 90, 94, 96, 97, 103, 104, 107, 109, 115, 116, 117, 118, 124, 128, 130, 131, 132, 134, 137, 139, 141]",50
6.0,0.9600155,0.0002701282501220703,"[1, 6, 7, 8, 9, 11, 12, 13, 15, 17, 18, 19, 20, 23, 27, 28, 30, 35, 36, 37, 39, 43, 45, 47, 48, 57, 59, 60, 63, 65, 66, 69, 70, 71, 72, 74, 75, 76, 78, 80, 82, 83, 93, 94, 95, 97, 98, 99, 101, 103]",50
2.0,0.9495169,0.00024199485778808594,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]",100
4.0,0.9495169,0.0003190040588378906,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]",100
6.0,0.95315146,0.00026488304138183594,"[6, 7, 8, 9, 11, 13, 14, 15, 18, 19, 21, 23, 26, 27, 29, 30, 31, 35, 36, 37, 38, 39, 40, 42, 43, 48, 50, 52, 53, 54, 59, 60, 61, 63, 64, 65, 66, 67, 70, 71, 72, 74, 75, 76, 77, 78, 85, 88, 91, 92, 93, 95, 97, 98, 99, 100, 101, 103, 104, 105, 106, 107, 108, 112, 113, 115, 116, 118, 121, 123, 124, 126, 128, 134, 135, 137, 140, 141, 142, 143, 146, 147, 149, 150, 151, 152, 153, 154, 156, 158, 161, 163, 164, 165, 166, 167, 169, 170, 171, 173]",100
