nbits,random_images_sim,time,output_indices,number_of_similar_images
2.0,0.9780246,0.00025081634521484375,"[0, 2, 7, 8, 12, 13, 15, 17, 18, 20, 23, 25, 30, 36, 38, 39, 47, 48, 57, 60]",20
4.0,0.9726475,0.0004642009735107422,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20]",20
6.0,0.9710519,0.00026988983154296875,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 16, 17, 18, 19, 20, 21]",20
8.0,0.9792306,0.00028014183044433594,"[8, 12, 13, 15, 17, 20, 30, 47, 57, 60, 66, 74, 77, 78, 80, 94, 97, 98, 103, 104]",20
10.0,0.9740876,0.0006940364837646484,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 16, 18, 20, 22, 23, 26, 27, 30, 35]",20
12.0,0.97682446,0.0010638236999511719,"[0, 2, 6, 7, 8, 11, 12, 13, 15, 16, 17, 18, 20, 23, 30, 32, 35, 36, 37, 38]",20
15.0,0.97678375,0.008687257766723633,"[15, 115, 116, 144, 162, 164, 202, 238, 278, 501, 516, 594, 748, 754, 876, 932, 1105, 1181, 1236, 1336]",20
20.0,0.97376984,0.3900411128997803,"[1, 5, 7, 8, 9, 10, 11, 12, 14, 16, 17, 20, 25, 26, 27, 28, 30, 33, 35, 36]",20
