nbits,random_images_sim,time,output_indices,number_of_similar_images
2.0,0.95969975,0.00037479400634765625,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10
4.0,0.96669114,0.0002720355987548828,"[0, 2, 7, 8, 9, 11, 12, 16, 17, 18]",10
6.0,0.95969975,0.0003268718719482422,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10
8.0,0.96424884,0.00025200843811035156,"[0, 2, 3, 8, 9, 14, 15, 17, 20, 28]",10
10.0,0.96924275,0.0003809928894042969,"[8, 13, 14, 16, 20, 27, 30, 36, 39, 47]",10
12.0,0.9643558,0.0048160552978515625,"[0, 1, 2, 3, 6, 7, 8, 9, 12, 16]",10
15.0,0.9625869,0.007942914962768555,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 12]",10
20.0,0.9723155,0.38451313972473145,"[124, 648, 1010, 1264, 2352, 2698, 3892, 4322, 4543, 4649]",10
